,greek,english,category,count
162,γυμνάζω,exercise,dietetics,153
9,λυπηρός,painful,pain,152
206,γυμνάσιον,exercise,dietetics,151
138,ἀρτηρία,the wind-pipe,bodily parts,149
243,ἄφρων,without sense,moral,149
27,σαρκώδης,fleshy,bodily parts,149
255,ὄρεξις,"desire, appetite",opossite,144
121,φλεγμαίνω,"to be heated, inflamed, to fester",pathology,144
5,ἀκόλαστος,incontinent,moral,140
177,νῶτον,the back,bodily parts,138
183,δειλία,cowardice,moral,137
39,ἀνόητος,silly,moral,136
198,ἀναπνοή,"recovery of breath, revival",dietetics,136
58,σπάω,spasm,pathology,136
155,ἀμαθία,ignorance,moral,135
215,σήπω,to make rotten,pathology,133
256,σιωπάω,to be still,dietetics,133
189,νεφρός,the kidneys,bodily parts,132
302,αἰδώς,respect,moral,132
169,γνάθος,the jaw,bodily parts,132
18,ἔμπυος,suppurating,pathology,131
4,ὑγραίνω,"to wet, moisten",dietetics,130
224,φάρυγξ,"the throat, gullet",bodily parts,130
329,πῆμα,misery,emotion,130
3,ἀπολαύω,enjoy,opossite,127
40,δακρύω,weep,emotion,126
29,ἀνάξιος,worthless,moral,126
391,ῥάχις,spine,bodily parts,124
178,ἀσθενέω,to be weak,dietetics,122
87,ἄτη,ruin,suffering,121
69,ἀγκών,"the bend of the arm, the elbow",bodily parts,121
83,θανάσιμος,deadly,pathology,121
29,ῥόφημα,porridge,dietetics,121
279,ἀκρασία,intemperence,moral,120
218,πενία,need,dietetics,119
84,νῆστις,fasting,dietetics,119
202,γυμναστικός,"fond of athletic exercises, skilled in them",dietetics,118
85,μελίκρητον,a drink of honey and milk,dietetics,117
243,βλαβερός,harmful,moral,115
257,φλοιός,the bark,bodily parts,114
237,ἀλκή,strengh,dietetics,114
99,καῦμα,burning heat,pathology,113
397,φλέβιον,of veins,bodily parts,112
348,τλάω,endure,dietetics,112
94,δίψα,thirst,dietetics,112
151,βλέφαρον,eyelids,bodily parts,110
7,ῥινόν,a hide,bodily parts,110
206,μελέτη,"care, attention",dietetics,109
8,εὐφραίνω,enjoy oneself,opossite,108
40,θανατώδης,,pathology,107
130,ὄρχις,the testicles,bodily parts,107
41,Ἔρως,,emotion,106
328,στένω,moan,emotion,106
239,ἀτυχέω,to be unlucky,emotion,105
34,μόρος,"man's appointed doom, fate, destiny",moral,105
76,μυελός,marrow,bodily parts,105
93,θέρμη,heat,pathology,105
33,σφαγή,"slaughter, butchery",suffering,105
335,μέλεος,unhappy,emotion,105
286,ἀκολασία,intemperence,moral,104
116,βουβών,"groin, glands",bodily parts,102
232,δέος,"fear, alarm, affright",moral,100
225,περιπατέω,"to walk up and down, to walk about",dietetics,99
15,εὐπορία,an easy way,opossite,97
71,κενόω,"to empty out, drain",dietetics,97
161,δαπανάω,exhaust,dietetics,97
75,ἄλγος,pain,pain,97
158,χαλεπαίνω,"to be severe, sore, grievous",pathology,97
24,κράς,the head,bodily parts,97
287,ἄνοια,folly,moral,96
72,πόθος,desire,opossite,96
336,γόος,weeping,emotion,96
268,Ἀφροδίσιος,sexual pleasure,opossite,96
26,πτέρυξ,the wing,bodily parts,96
207,περίπατος,walk,dietetics,94
219,ἀκμή,effort,dietetics,94
107,λέκτρον,"a couch, bed",dietetics,93
26,κύμινον,cummin,dietetics,93
81,ἑλκόω,to wound,pathology,92
76,οἰκτρός,pitiable,emotion,91
222,διψάω,to thirst,dietetics,91
102,αἱματώδης,blood-red,bodily parts,90
21,δυσχεραίνω,to be displeased,emotion,90
89,κλείς,collar-bone,bodily parts,89
205,φῦσα,breath,dietetics,88
195,μασχάλη,the armpit,bodily parts,85
17,δεύω,"to wet, drench",dietetics,85
107,κενεών,flank,bodily parts,85
136,οἰδέω,"to swell, become swollen",pathology,84
226,κινητικός,of,dietetics,83
164,καρτερέω,endure,dietetics,83
188,ἐπαινετός,"to be praised, laudable",moral,83
160,ταλαιπωρέω,distress,dietetics,83
225,μόχθος,toil,dietetics,81
28,μέθη,strong drink,dietetics,81
196,κρόταφος,the side of the forehead,bodily parts,81
197,πλησμονή,satiety,opossite,81
14,ταλαίπωρος,"suffering, miserable",dietetics,81
7,ῥοφέω,"to sup greedily up, gulp down",dietetics,81
42,ὀδυνάω,be in pain,pain,79
74,θυμόω,provoke,suffering,79
20,ἰητρεύω,heal,opossite,78
115,ἀναίδεια,"shamelessness, impudence, effrontery",moral,78
1,δύσκολος,hard to satisfy with food;,dietetics,78
364,ἀσώδης,suffering from nausea,pathology,77
244,σωματικός,bodily,bodily parts,77
91,ψῦξις,,dietetics,76
223,κακοδαίμων,"possessed by an evil genius, ill-fated, ill-starred, miserable",pathology,76
59,ἀναίσθητος,"insensate, unfeeling",emotion,76
83,στέρνον,"the breast, chest",bodily parts,75
98,κόπος,toil,dietetics,75
63,παραφρονέω,to be deranged,emotion,75
172,μοχθηρία,"bad condition, badness",suffering,74
105,τέρπω,"to satisfy, delight, gladden, cheer",opossite,74
135,δυσεντερία,dysentery,pathology,74
114,πυκνότης,"closeness, thickness, denseness",pathology,74
47,οἶκτος,pity,emotion,74
10,σπασμώδης,spasmic,pathology,74
154,ἰσχναίνω,make dry,dietetics,74
51,ἄγρυπνος,hunting after sleep,dietetics,74
159,οἰκτίρω,,emotion,73
63,πότνια,"mistress, queen",moral,73
172,ταλαιπωρία,distress,dietetics,73
338,δέρκομαι,sight,opossite,73
84,ἔλεος,"pity, mercy, compassion",emotion,72
246,ἀηδής,unpleasant,suffering,72
174,ἀνελεύθερος,not fit for a free man,moral,72
159,στάζω,leak,pathology,71
13,μᾶζα,a barley-cake,dietetics,71
245,βρῶμα,"that which is eaten, food, meat",dietetics,71
98,ἐρωτικός,amatory,emotion,71
103,ἰχώρ,"ichor, the etherial juice",bodily parts,70
240,φρίκη,"a shuddering, shivering",pathology,70
140,παρανομέω,"to transgress the law, act unlawfully",moral,70
100,ἀναιδής,shameless,moral,70
139,κατάψυξις,cold,pathology,70
88,διψώδης,,dietetics,69
2,πυρέσσω,to be ill of a fever,pathology,68
82,κωματώδης,,pathology,68
264,θαρσαλέος,confident,moral,68
46,νείαιρα,abdomen,bodily parts,68
153,καῦσος,burning heat.,pathology,67
327,δεῖμα,fear,emotion,67
97,ἐγκράτεια,mastery over,moral,67
128,φλεγμονή,,pathology,66
36,ἐπιπίνω,to drink afterwards,dietetics,66
116,θυμοειδής,"high-spirited, courageous",moral,66
326,ἄχος,pain,pain,66
228,ἐπίπονος,painful,pain,66
77,πτισάνη,"peeled barley: a drink made thereof, barley-water, a ptisan",dietetics,66
396,σφυρόν,ankle,bodily parts,66
308,λήθη,forgetfulness,moral,65
60,βήσσω,to cough,pathology,65
212,ἀφροσύνη,"folly, thoughtlessness, senselessness",moral,65
165,διαπονέω,work hard,dietetics,65
142,ἴς,a muscle,bodily parts,65
190,θράσος,"courage, boldness",moral,65
150,διαθερμαίνω,warm through,pathology,65
106,διάρροια,diarrhoea,pathology,65
132,σίαλον,"spittle, saliva",bodily parts,64
318,θάρσος,courage,moral,64
64,κατακτείνω,"to kill, slay, murder",suffering,63
33,παραχέω,"to pour in beside, pour in",dietetics,63
43,βαρύνω,oppress,suffering,63
68,πυρεταίνω,have fever,pathology,62
399,χόνδρος,cartigage,bodily parts,62
43,ἐκπνέω,to breathe out,dietetics,62
168,εὐεξία,good health,opossite,61
367,κακοήθης,malicious,moral,60
185,πελιδνός,livid,emotion,60
123,χλιαρός,"warm, lukewarm",pathology,59
235,ὄλβος,"happiness, bliss, weal, wealth",opossite,59
76,μωρός,"dull, sluggish, stupid",moral,59
150,ἱμάς,a leathern strap,pathology,59
82,φόνιος,deadly,pathology,59
204,ὑβριστής,"a violent, overbearing person, a wanton, insolent man",moral,59
126,ἀναίσχυντος,"shameless, impudent",moral,58
363,φρικώδης,shivering,pathology,58
46,ῥαφή,a seam,bodily parts,58
101,ῥᾳθυμία,"easiness of temper, a taking things easily",opossite,57
139,φρενιτικός,,pathology,57
239,ἐκπονέω,toil,dietetics,56
47,ἰξύα,waist,bodily parts,56
69,ἀλγηδών,painful,pain,56
158,φυράω,mix,dietetics,56
120,μετάφρενον,back,bodily parts,56
117,πότμος,"that which befals one, one's lot, destiny",moral,55
23,τάσις,"tension, intensity, force",dietetics,55
74,ἄχθος,"a weight, burden, load",suffering,55
379,ὀδυνώδης,painful,pain,55
73,ὀδύρομαι,lament,emotion,55
166,ῥᾳστώνη,easiness,opossite,55
257,πεινάω,crave after,opossite,55
258,ἀγαπητός,desirable,opossite,55
45,τέγγω,"to wet, moisten",dietetics,55
11,ἄλητον,meal,dietetics,54
52,ἀναισχυντία,shamelessness,moral,53
171,ῥιγόω,"to be cold, shiver from cold",pathology,53
126,ὕφαιμος,suffused with blood,pathology,53
112,αἱμορραγία,,pathology,52
95,ἐλεεινός,"finding pity, pitied",moral,52
122,σαπρός,"rotten, putrid",pathology,52
96,πήγανον,rue,moral,52
44,ἀλγεινός,painful,pain,51
18,ἐρώμενος,one's love,emotion,51
28,βληχρός,"weak, faint, slight",dietetics,51
214,ἄσκησις,exercise,dietetics,51
88,ὠδίς,childbirth pain,pain,51
21,ῥύγχος,"a snout, muzzle",bodily parts,50
97,στραγγουρία,strangury,pathology,50
186,τρομώδης,,pathology,50
